Country,ANN_MDA8Sim2/Sim1 Diff.,MMM Initial O3 [ppb]
Afghanistan,-3.31,56.7
Albania,-2.36,45.95
Algeria,-2.97,48.31
Andorra,-2.4,43.8
Angola,-1.74,44.15
Antigua and Barbuda,-2.39,31
Argentina,-1.53,30.59
Armenia,-2.71,48.63
Australia,-1.73,29.46
Austria,-2.25,41.28
Azerbaijan,-2.48,44.45
Bahamas,-3.13,42.43
Bahrain,-3.84,71.36
Bangladesh,-1.8,67.47
Barbados,-2.15,28.59
Belarus,-2.02,36.52
Belgium,-2.41,37.75
Belize,-1.99,33.85
Benin,-1.65,42.14
Bhutan,-2.09,62.62
Bolivia,-1.13,28.68
Bosnia and Herzegovina,-2.24,41.84
Botswana,-1.93,40.05
Brazil,-1.59,34.89
Brunei Darussalam,-1.03,28.66
Bulgaria,-2.2,41.45
Burkina Faso,-1.78,36.66
Burundi,-1.58,40.65
Cambodia,-1.59,42.9
Cameroon,-1.31,36.31
Canada,-1.99,40.49
Cape Verde,-2.66,36.91
Central African Republic,-1.25,44.49
Chad,-2.05,40.9
Chile,-2.05,33.29
China,-2.22,51.97
Colombia,-1.07,28.97
Comoros,-1.84,28.3
Republic of Congo,-1.16,34.77
Cook Islands,-1.18,14.87
Costa Rica,-1.64,30.24
Croatia,-2.23,42.06
Cuba,-2.48,38.91
Cyprus,-2.87,49.75
Czech Republic,-2.24,39.36
Ivory Coast,-1.43,36.23
North Korea,-2.27,49.28
Democratic Republic of the Congo,-1.36,44.57
Denmark,-2.29,37.11
Djibouti,-2.69,40.84
Dominica,-2.37,30.6
Dominican Republic,-2.37,36.92
Ecuador,-1.15,30.04
Egypt,-3.69,53.46
El Salvador,-1.81,39.39
Equatorial Guinea,-1.21,30.91
Eritrea,-2.79,43.81
Estonia,-1.96,34.98
Ethiopia,-2.16,38.29
Fiji,-1.52,21.74
Finland,-1.93,34.57
France,-2.37,40.56
Gabon,-1.07,29.26
Gambia,-2.31,37.53
Georgia,-2.38,45.14
Germany,-2.32,38.66
Ghana,-1.58,40.49
Greece,-2.55,47.38
Grenada,-2.26,29.35
Guatemala,-1.75,42.27
Guinea,-1.67,39.11
Guinea-Bissau,-2.1,38.37
Guyana,-1.57,24.58
Haiti,-2.35,39.3
Honduras,-1.82,33.73
Hungary,-2.1,39.09
Iceland,-2.07,37.19
India,-2.66,68.3
Indonesia,-2.1,50.82
Iran,-3.53,57.06
Iraq,-3.65,58.4
Ireland,-2.35,39.14
Israel,-3.48,53.56
Italy,-2.54,47.17
Jamaica,-2.67,40.59
Japan,-2.62,50.33
Jordan,-3.64,56.17
Kazakhstan,-2.34,42.43
Kenya,-1.84,34.04
Kiribati,-0.99,11.96
Kuwait,-3.6,63.08
Kyrgyzstan,-3.01,52.57
Laos,-1.46,44.83
Latvia,-1.98,35.41
Lebanon,-3.3,54.06
Lesotho,-2.16,42.3
Liberia,-1.52,36.47
Libya,-3.02,47.83
Lithuania,-2.04,36.02
Luxembourg,-2.29,38.36
Madagascar,-1.65,27.08
Malawi,-1.78,35.23
Malaysia,-1.44,47.79
Maldives,-2.07,33.03
Mali,-1.91,35.55
Malta,-3.22,51.23
Marshall Islands,nan,0
Mauritania,-2.41,35.27
Mauritius,-2.02,26.76
Mexico,-2.29,46.81
Fed.Sts.of Micronesia,-1.38,18.08
Monaco,-2.59,47.04
Mongolia,-2.36,45.79
Morocco,-3.03,46.91
Mozambique,-1.78,32.5
Myanmar,-1.67,42.66
Namibia,-2.05,42.42
Nauru,nan,0
Nepal,-2.33,70.07
Netherlands,-2.47,37.5
New Zealand,-1.64,25.65
Nicaragua,-1.84,30.48
Niger,-2.14,38.69
Nigeria,-1.64,42.32
Niue,nan,0
Norway,-2.19,37.69
Oman,-3.7,54.88
Pakistan,-3.13,63.81
Palau,nan,0
Panama,-1.62,32.44
Papua New Guinea,-1.04,18.1
Paraguay,-1.02,31.98
Peru,-1.84,31.19
Philippines,-1.66,33.61
Poland,-2.18,37.99
Portugal,-2.65,44.89
Qatar,-4.05,67.93
South Korea,-2.41,50.68
Moldova,-2.11,39.13
Romania,-2.11,39.64
Russia,-1.91,36
Rwanda,-1.53,40.49
St.Kitts+Nevis,nan,0
Saint Lucia,-2.35,30.01
St.Vincent+Grenadines,-2.3,29.57
Samoa,-1.3,17.1
San Marino,-2.41,45.72
Sao Tome+Principe,-1.51,32.71
Saudi Arabia,-3.94,57.33
Senegal,-2.43,37.53
Serbia,-2.18,41.14
Seychelles,-1.69,22.63
Sierra Leone,-1.62,39.19
Singapore,-2.31,62.7
Slovakia,-2.13,39
Slovenia,-2.22,42.15
Solomon Islands,-1.24,16.38
Somalia,-2.01,30.15
South Africa,-2.03,41.18
Spain,-2.73,46.21
Sri Lanka,-2.34,42.61
Sudan,-2.35,42.49
Suriname,-1.54,25.27
Swaziland,-1.81,39.57
Sweden,-2.1,36.51
Switzerland,-2.33,42.71
Syria,-3.12,52.69
Tajikistan,-2.97,52.57
Thailand,-1.63,48.69
Macedonia,-2.34,43.71
Timor-Leste,-1.79,32.12
Togo,-1.59,41.91
Tonga,-1.57,23.33
Trinidad+Tobago,-2.31,29.98
Tunisia,-2.84,48.14
Turkey,-2.61,47.08
Turkmenistan,-2.76,46.11
Tuvalu,nan,0
Uganda,-1.66,40.42
Ukraine,-2.1,38.63
United Arab Emirates,-4.18,63.92
UK,-2.42,38.01
Tanzania,-1.73,33.67
USA,-2.24,45.34
Uruguay,-1.47,28.39
Uzbekistan,-2.8,48.73
Vanuatu,-1.55,21.93
Venezuela,-1.84,35.34
Vietnam,-1.68,48
Yemen,-3.15,47.33
Zambia,-1.82,40.64
Zimbabwe,-1.89,37.97
Puerto Rico,-2.73,50.33